all_products_href,product_title,product_rating_points,product_ratings,product_price,product_images_src,product_styles,product_description,reviews,reviewer_name,review_title,review_rating,reviewer_country_date,purchased_product,review_status,review_body,review_helpfulness
https://www.amazon.com/DGHM-JLMY-Drawstring-Classic-Outdoor-3X-Large/dp/B0CQC9RCDK/ref=sr_1_4372?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4372&ts_id=2476494011,DGHM-JLMY Men's Drawstring Zipper Pocket Down Jacket Classic Solid Puffer Down Jacket Outdoor Zipper Fashion Hood Baggy Coats,,,,https://m.media-amazon.com/images/I/71OsVgvg7vL._AC_SX569_.jpg,,,,,,,,,,,
https://www.amazon.com/DGHM-JLMY-Waterproof-Outdoor-Lightweight-3X-Large/dp/B0BNL9QB56/ref=sr_1_4371?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4371&ts_id=2476494011,DGHM-JLMY Men's Sports Slim Casual Waterproof Hooded Jacket Rain Outdoor Lightweight Shell Coat Crew Hooded Travel Jacket,,,,,,,,,,,,,,,
https://www.amazon.com/Banded-Calefaction-Wader-Jacket-Size/dp/B0BNNC23JL/ref=sr_1_4370_mod_primary_new?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4370&ts_id=2476494011,"Banded Men's Calefaction 3-N-1 Insulated Wader Jacket, Realtree, Max 7, 2XL",,,$329.99 ,https://m.media-amazon.com/images/I/61vl74oBgYL._AC_SX569_.jpg,,,,,,,,,,,
https://www.amazon.com/PALALEATHER-Embroidered-Collar-Goatskin-Jacket/dp/B0962WQ515/ref=sr_1_4369?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4369&ts_id=2476494011,PALALEATHER Men's Embroidered Stand Collar Goatskin Jacket,5,1 rating,,https://m.media-amazon.com/images/I/81qYCrYaShS._AC_SX679_.jpg,,,,,,,,,,,
https://www.amazon.com/StormHide-Waterproof-Gamehide-Black-LARGE/dp/B09P8XZD45/ref=sr_1_4376_mod_primary_new?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704090&s=apparel&sr=1-4376&ts_id=2476494011,Stormhide Waterproof Down Pour Bibs from Gamehide Black LARGE,,,$53.89 ,,,,,,,,,,,,
https://www.amazon.com/StormHide-Waterproof-Down-Gamehide-Black/dp/B09P8WKM6C/ref=sr_1_4375?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704090&s=apparel&sr=1-4375&ts_id=2476494011,Stormhide Waterproof Down Pour Bibs from Gamehide Black XL,,,,,,,,,,,,,,,
https://www.amazon.com/Afield-Out-Echo-Jacket-Brown/dp/B0CNSF9HJX/ref=sr_1_4374?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704090&s=apparel&sr=1-4374&ts_id=2476494011,"Afield Out, Echo Jacket - Men's",,,,https://m.media-amazon.com/images/I/61VdcKn8PJL._AC_SX569_.jpg,,,,,,,,,,,
https://www.amazon.com/Sherpa-Fleece-Classic-Heavyweight-Sweatshirt/dp/B0BHHV83M8/ref=sr_1_4373?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704090&s=apparel&sr=1-4373&ts_id=2476494011,Maiyifu-GJ Men's Sherpa Lined Fleece Zipper Jacket Casual Full Zip Up Winter Warm Coats Classic Heavyweight Sweatshirt,,,,https://m.media-amazon.com/images/I/71Ame51OdaL._AC_SX679_.jpg,,,,,,,,,,,
https://www.amazon.com/Versa-S3409844-Box-Standard/dp/B0BKSPLXT3/ref=sr_1_4372?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704090&s=apparel&sr=1-4372&ts_id=2476494011,"Versa Box, Standard",,,$22.27 ,https://m.media-amazon.com/images/I/61UcpzJLoJL._SX522_.jpg,,Brand Polypropylene Folding Box Versa     Colour: grey     Dimensions: 35 x 14 x 23.5 cm     Reference: S3409844     If you like to take care of every detail of your home and be on the latest in products that will make your life easier.,,,,,,,,,
https://www.amazon.com/DuDubaby-Lightweight-Lambskin-Windbreaker-Outerwear/dp/B0BK91NNF9/ref=sr_1_4371?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704090&s=apparel&sr=1-4371&ts_id=2476494011,DuDubaby Mens Flannel Jacket Cotton Jacket Lightweight Jacket Spring Fall Causal Windbreaker Coat Outerwear Long Fur Coat,3.5,2 ratings,,,,,,,,,,,,,
https://www.amazon.com/DuDubaby-Lightweight-Lambskin-Windbreaker-Outerwear/dp/B0BK91NNF9/ref=sr_1_4371?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704090&s=apparel&sr=1-4371&ts_id=2476494011,DuDubaby Mens Flannel Jacket Cotton Jacket Lightweight Jacket Spring Fall Causal Windbreaker Coat Outerwear Long Fur Coat,3.5,2 ratings,,,,,"5.0 out of 5 stars







  
  
    Love it to death!",isaiah,Love it to death!,5.0 out of 5 stars,"Reviewed in the United States on November 13, 2022",Size: 4X-LargeColor: 1-navy,,I want to buy a few more soon,
https://www.amazon.com/Jacket-Winter-Casual-Lightweight-Outwear/dp/B0B9WSZDL7/ref=sr_1_4370?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704090&s=apparel&sr=1-4370&ts_id=2476494011,"Coat Jacket Men Men's Winter Casual Solid Hooded Down Jacket Lightweight Warm Outwear Zipper Bread (Army Green, XL)",1,1 rating,$24.03 ,https://m.media-amazon.com/images/I/61B9Zt06kJL._AC_SX679_.jpg,,,,,,,,,,,
https://www.amazon.com/ICEWEAR-Ragnar-Mens-Down-Jacket/dp/B08MTWSC35/ref=sr_1_4369?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704090&s=apparel&sr=1-4369&ts_id=2476494011,ICEWEAR Ragnar Men's Eco Down Jacket,,,,,,,,,,,,,,,
https://www.amazon.com/Printing-Sweater-Shacket-Boyfriend-Flannel/dp/B0CPM1NDLN/ref=sr_1_4368?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704090&s=apparel&sr=1-4368&ts_id=2476494011,JJHAEVDY Mens Winter Jacket Printing Long Sleeve Sweater Full Zip Hooded Hoodie Thick Soft Jackets Casual Jacket with Pocket,,,,https://m.media-amazon.com/images/I/81ZFX3smMxL._AC_SX569_.jpg,,,,,,,,,,,
https://www.amazon.com/Maiyifu-GJ-Hoodies-Sweatshirt-Heavyweight-7X-Large/dp/B0BNBSV597/ref=sr_1_4367?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704090&s=apparel&sr=1-4367&ts_id=2476494011,Maiyifu-GJ Men's Sherpa Lined Zip Up Hoodies Winter Fleece Hoodie Sweatshirt Heavyweight Long Sleeve Warm Active Jackets,,,,,,,,,,,,,,,
https://www.amazon.com/Maiyifu-GJ-Outerwear-Lightweight-Sleeveless-3X-Large/dp/B0CP5RK8TB/ref=sr_1_4366?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704090&s=apparel&sr=1-4366&ts_id=2476494011,Maiyifu-GJ Winter Padded Down Vest for Men Outdoor Stand Collar Vest Outerwear Lightweight Thicken Warm Sleeveless Jacket,,,,,,,,,,,,,,,
https://www.amazon.com/Jacket-Winter-Casual-Lightweight-Outwear/dp/B0B9W6HSF2/ref=sr_1_4365?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704090&s=apparel&sr=1-4365&ts_id=2476494011,"Coat Jacket Men Men's Winter Casual Solid Hooded Down Jacket Lightweight Warm Outwear Zipper Bread (Army Green, XXL)",,,$24.19 ,https://m.media-amazon.com/images/I/61B9Zt06kJL._AC_SX679_.jpg,,,,,,,,,,,
https://www.amazon.com/Jacket-Winter-Lightweight-Outwear-Fashion/dp/B0B9WKVXVY/ref=sr_1_4361?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704090&s=apparel&sr=1-4361&ts_id=2476494011,"Coat Jacket Men Men's Winter Casual Solid Hooded Down Jacket Lightweight Warm Outwear Zipper Bread Fashion (Navy, XL)",,,$24.29 ,https://m.media-amazon.com/images/I/61Di1YRcfZL._AC_SX679_.jpg,,,,,,,,,,,
